,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
584,20240823a,fa/fa,Young,F,19,Vehicle,49.442501068115234,5.347694396972656
585,20240823a,fa/fa,Young,F,1,Vehicle,48.98717880249024,3.140338897705078
586,20240823a,fa/fa,Young,F,20,Vehicle,49.47792434692383,4.148948669433594
587,20240823a,fa/fa,Young,F,21,Vehicle,56.51180648803711,3.799213409423828
588,20240823a,fa/fa,Young,F,22,Vehicle,59.1076774597168,5.540889739990234
589,20240823a,fa/fa,Young,F,23,Vehicle,54.553955078125,5.198009490966797
590,20240823a,fa/fa,Young,F,2,Vehicle,53.68667221069336,3.5311317443847656
591,20240823a,fa/fa,Young,F,3,Vehicle,49.01243209838867,3.3527145385742188
592,20240823a,fa/fa,Young,F,4,Vehicle,50.06186294555664,3.8673324584960938
593,20240823a,fa/fa,Young,F,5,Vehicle,53.78548049926758,4.633876800537109
594,20240823a,fa/fa,Young,F,6,Vehicle,50.64750289916992,4.886558532714844
595,20240823a,fa/fa,Young,F,7,Vehicle,52.24788284301758,5.761871337890625
596,20240823a,fa/fa,Young,F,8,Vehicle,64.4501953125,4.332206726074219
597,20240823a,fa/fa,Young,F,9,Vehicle,62.82806396484375,4.160980224609375
628,20240823b,fa/fa,Young,F,0,Vehicle,58.38990783691406,-1.644245147705078
629,20240823b,fa/fa,Young,F,10,Vehicle,40.9146728515625,3.7790565490722656
630,20240823b,fa/fa,Young,F,12,Vehicle,45.16398620605469,0.4022140502929687
631,20240823b,fa/fa,Young,F,13,Vehicle,43.47037506103516,1.979942321777344
632,20240823b,fa/fa,Young,F,14,Vehicle,44.619571685791016,2.009262084960937
633,20240823b,fa/fa,Young,F,15,Vehicle,42.00825500488281,2.810138702392578
634,20240823b,fa/fa,Young,F,16,Vehicle,46.56840896606445,1.6634292602539062
635,20240823b,fa/fa,Young,F,17,Vehicle,45.43825912475586,2.135101318359375
636,20240823b,fa/fa,Young,F,1,Vehicle,54.918060302734375,-0.6452560424804688
637,20240823b,fa/fa,Young,F,20,Vehicle,48.03011322021485,3.091011047363281
638,20240823b,fa/fa,Young,F,21,Vehicle,47.52421951293945,4.714813232421875
639,20240823b,fa/fa,Young,F,22,Vehicle,45.841190338134766,4.5699310302734375
640,20240823b,fa/fa,Young,F,23,Vehicle,52.32170104980469,1.2892074584960938
641,20240823b,fa/fa,Young,F,24,Vehicle,52.51148986816406,0.0646476745605468
642,20240823b,fa/fa,Young,F,25,Vehicle,58.356781005859375,0.5146522521972656
643,20240823b,fa/fa,Young,F,26,Vehicle,50.3093376159668,1.724750518798828
644,20240823b,fa/fa,Young,F,27,Vehicle,53.62479019165039,3.177661895751953
645,20240823b,fa/fa,Young,F,28,Vehicle,56.61090850830078,4.131935119628906
646,20240823b,fa/fa,Young,F,29,Vehicle,49.639686584472656,0.8938941955566406
647,20240823b,fa/fa,Young,F,2,Vehicle,57.78807830810547,2.676982879638672
648,20240823b,fa/fa,Young,F,30,Vehicle,46.3647689819336,0.6643905639648438
649,20240823b,fa/fa,Young,F,31,Vehicle,45.75940704345703,1.8927116394042969
650,20240823b,fa/fa,Young,F,33,Vehicle,48.584381103515625,2.3066635131835938
651,20240823b,fa/fa,Young,F,3,Vehicle,47.2683219909668,3.4346923828125
652,20240823b,fa/fa,Young,F,5,Vehicle,47.23276901245117,1.8447494506835935
653,20240823b,fa/fa,Young,F,7,Vehicle,52.20986557006836,0.8954582214355469
